t Vext G_frac
9.98845e+03 1.15506e-02 0.00000e+00
9.98923e+03 1.07722e-02 0.00000e+00
9.98995e+03 1.00462e-02 0.00000e+00
9.99063e+03 9.36909e-03 0.00000e+00
9.99126e+03 8.73764e-03 0.00000e+00
9.99185e+03 8.14875e-03 0.00000e+00
9.99240e+03 7.59956e-03 0.00000e+00
9.99291e+03 7.08737e-03 0.00000e+00
9.99339e+03 6.60971e-03 0.00000e+00
9.99384e+03 6.16423e-03 0.00000e+00
9.99425e+03 5.74878e-03 0.00000e+00
9.99464e+03 5.36134e-03 0.00000e+00
9.99500e+03 5.00000e-03 0.00000e+00
1.00000e+04 0.00000e+00 0.00000e+00
