ID,N_t_bulk
18fb9683-2e19-42d6-b154-cb1af7cd1206,1e+21
ef93991c-aaba-4fc7-bfeb-550155335209,2e+21
edb987da-b45c-4ac2-81e4-66d50552311d,3e+21
40dd4953-fc02-446e-b228-64defa9475ea,4e+21
a09e2620-53a3-4edb-808b-8bcaea027c9c,5e+21
f8b058e5-0691-47cb-872c-1946926470e8,6e+21
a25ba3ae-da45-4894-b773-a9e5f9970da5,7e+21
30dc02c6-b09a-4601-af9d-0a32397dc152,8e+21
c1db15ca-3f3f-430c-a311-48b175eacc68,9e+21
cd621f15-3e4d-4720-b5f9-308a23cba7de,1e+22
f5ceebaa-0ecc-40da-8c71-de9b9f533733,1.1e+22
102afa5c-881e-4dea-88c1-e68ae0067253,1.2e+22
0b4fd912-317b-4be6-947f-35586f8cb2fa,1.3e+22
b970403f-0cae-4b31-986e-59413a207bdb,1.4e+22
6a77dff6-862a-4285-a28f-42960929e25d,1.5e+22
