ID,N_t_bulk
74054338-a505-45ab-ad99-ff85d630e12c,1e+21
bceee3b7-f708-499e-80f2-c479edf654ff,2e+21
4499799a-6180-4c80-84da-433c8b3c4504,3e+21
37ff08eb-114d-4421-b426-130148f8b2be,4e+21
81c0133a-006b-4891-bbfc-4341d406d5bd,5e+21
beeec455-f398-472d-ae14-e79a68d215ab,6e+21
06961793-3877-453f-8df4-c2c88cd86ec6,7e+21
cb4e3ac9-55c3-4941-9398-513f1bc0d4fa,8e+21
e4f084a5-746a-4612-b160-b48a62186847,9e+21
c7e468dd-45bd-4dbc-be1d-95e4087a946c,1e+22
96ddbd34-f475-472d-b7fb-c13326a2f0fb,1.1e+22
ce730281-999d-4b00-99f2-ab4873c05026,1.2e+22
93d85b27-bed4-4b8a-8fdf-35a059afe0b2,1.3e+22
5fab834c-f7c3-4cd2-accd-27fe6dec2b37,1.4e+22
432ea451-72d2-4e83-be31-476ecfa9d2c5,1.5e+22
