ID,N_t_bulk
6b0d4dd9-cd44-4153-a3f0-5be8dced08a1,1e+21
ab28c59c-7aad-4dbb-bc1a-73a99338eaa8,2e+21
219d408b-9253-438a-98b2-43edfb27b10b,3e+21
919887b7-e098-439b-ae53-fc56436f9240,4e+21
116be4b8-9896-4216-a3e1-5089b35280e5,5e+21
3c373c9a-90b0-42dc-aa17-bd6c9677c426,6e+21
086b1b04-1103-4c0e-84ce-8adea797451b,7e+21
774198eb-068e-4b65-b7a4-9e6923049de3,8e+21
25e9806f-fa96-42ca-85bd-1f74958e7269,9e+21
fdb49ba1-7806-4fe9-b808-9ee866ae698e,1e+22
d8f9b9d1-6449-45aa-9186-3d178d967332,1.1e+22
e5cd84de-664b-4d99-9c82-2ca2b76761b5,1.2e+22
437cb023-9499-40ac-9f19-79eab954dd88,1.3e+22
b25c97af-be6e-480f-abf5-7069844bf5b4,1.4e+22
a1ce9dcc-ce8c-4e7f-ad4c-ebfb8ef28d6d,1.5e+22
