ID,dop_TL
a5eac1ab-d7e6-485c-a5f3-a2455655789b,1e+18
dd1f98a8-e154-4cc8-8146-f312cfc65c4d,1e+20
3bc7d91c-e8dc-47d9-8b3b-f07aa2630a73,1e+22
58a7c011-1496-49f7-a329-95ae5c8fcd88,1e+24
