ID,nrj_TL
efe8cd07-3583-4e80-ac22-be87549fb8e9,3.6
27ddc3a9-ee37-43d0-9d5b-51c43fcc517f,3.7
20318ed7-e64b-4cb5-8704-5cab7e127430,3.8
8f62832b-e489-426b-a186-01e5142b7048,3.9
