ID,N_t_bulk
8c5632f7-3ae6-454c-a05d-0e74af338550,1e+21
5f78857b-a2a3-4a79-9c7f-e076ccebf66c,2e+21
7264165f-6977-4b64-8b9a-26ef260fc0ba,3e+21
ef88b82d-f680-4880-9c55-cda8ad14dbaa,4e+21
10f1d456-41cb-4916-aa08-68b53bd53aa0,5e+21
2721ee30-a957-4274-8e10-6e6b45bb376f,6e+21
997d12e4-8b05-4afc-a4ef-84d855b1153b,7e+21
eec0b39c-fc6e-46a5-bbeb-bf4d8f769df2,8e+21
703daf66-0d69-4d2a-998c-0971f16da6c8,9e+21
6301db09-e6e8-425e-b513-df1cda267711,1e+22
4f1338c7-4d5c-4981-8a5c-13e6d7d4071f,1.1e+22
e340238f-f48b-480e-b873-b11fb87584e0,1.2e+22
62d2858c-537d-41a6-a555-d947555d12b3,1.3e+22
551e4831-cde3-4df3-9e32-c49f2ec2bf5a,1.4e+22
27684491-04e9-414e-ae5d-e8cc796d43fe,1.5e+22
