Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:44:13
Reading in of parameters:
l1.L = 1E-6
l1.N_anion = 2E21
l1.N_cation = 2E21
l1.N_t_bulk = 3E21
Read parameters for layer 1 from ../../pero.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = 1
Vmax = 100
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_3b7d994f-7b05-4898-a60d-8f688cdcab24.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_3b7d994f-7b05-4898-a60d-8f688cdcab24.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_3b7d994f-7b05-4898-a60d-8f688cdcab24.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_notl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
158    16.561     TRUE      TRUE
159    17.286     TRUE      TRUE
160    18.042     TRUE      TRUE
161    18.831     TRUE      TRUE
162    19.655     TRUE      TRUE
163    20.515     TRUE      TRUE
164    21.413     TRUE      TRUE
165    22.350     TRUE      TRUE
166    23.327     TRUE      TRUE
167    24.348     TRUE      TRUE
168    25.413     TRUE      TRUE
169    26.525     TRUE      TRUE
170    27.685     TRUE      TRUE
171    28.896     TRUE      TRUE
172    30.160     TRUE      TRUE
173    31.480     TRUE      TRUE
174    32.857     TRUE      TRUE
175    34.294     TRUE      TRUE
176    35.794     TRUE      TRUE
177    37.360     TRUE      TRUE
178    38.994     TRUE      TRUE
179    40.699     TRUE      TRUE
180    42.480     TRUE      TRUE
181    44.338     TRUE      TRUE
182    46.277     TRUE      TRUE
183    48.301     TRUE      TRUE
184    50.414     TRUE      TRUE
185    52.619     TRUE      TRUE
186    54.920     TRUE      TRUE
187    57.322     TRUE      TRUE
188    59.829     TRUE      TRUE
189    62.446     TRUE      TRUE
190    65.177     TRUE      TRUE
191    68.028     TRUE      TRUE
192    71.003     TRUE      TRUE
193    74.109     TRUE      TRUE
194    77.350     TRUE      TRUE
195    80.733     TRUE      TRUE
196    84.264     TRUE      TRUE
197    87.949     TRUE      TRUE
198    91.795     TRUE      TRUE
199    95.810     TRUE      TRUE
200   100.000     TRUE      TRUE

Timestamp at end: 7-8-24 10:46:34
Total run time: 141.392 seconds.
