Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:16:23
Reading in of parameters:
l1.L = 8E-7
l1.N_anion = 2E21
l1.N_cation = 2E21
l1.N_t_bulk = 1.1E22
Read parameters for layer 1 from ../../pero.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = 1
Vmax = 50
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_06579922-fc87-4efc-b7bd-0ab78fb099eb.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_06579922-fc87-4efc-b7bd-0ab78fb099eb.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_06579922-fc87-4efc-b7bd-0ab78fb099eb.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_notl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
158     9.581     TRUE      TRUE
159     9.966     TRUE      TRUE
160    10.366     TRUE      TRUE
161    10.782     TRUE      TRUE
162    11.215     TRUE      TRUE
163    11.665     TRUE      TRUE
164    12.133     TRUE      TRUE
165    12.620     TRUE      TRUE
166    13.127     TRUE      TRUE
167    13.654     TRUE      TRUE
168    14.202     TRUE      TRUE
169    14.771     TRUE      TRUE
170    15.364     TRUE      TRUE
171    15.981     TRUE      TRUE
172    16.622     TRUE      TRUE
173    17.289     TRUE      TRUE
174    17.983     TRUE      TRUE
175    18.704     TRUE      TRUE
176    19.455     TRUE      TRUE
177    20.235     TRUE      TRUE
178    21.047     TRUE      TRUE
179    21.891     TRUE      TRUE
180    22.770     TRUE      TRUE
181    23.683     TRUE      TRUE
182    24.633     TRUE      TRUE
183    25.621     TRUE      TRUE
184    26.649     TRUE      TRUE
185    27.718     TRUE      TRUE
186    28.830     TRUE      TRUE
187    29.987     TRUE      TRUE
188    31.190     TRUE      TRUE
189    32.441     TRUE      TRUE
190    33.742     TRUE      TRUE
191    35.096     TRUE      TRUE
192    36.503     TRUE      TRUE
193    37.968     TRUE      TRUE
194    39.491     TRUE      TRUE
195    41.075     TRUE      TRUE
196    42.722     TRUE      TRUE
197    44.436     TRUE      TRUE
198    46.218     TRUE      TRUE
199    48.072     TRUE      TRUE
200    50.000     TRUE      TRUE

Timestamp at end: 7-8-24 10:19:46
Total run time: 202.769 seconds.
