Vext Jext
-51.0 -10.0
-50.0 -9.332543007969905
-45.55813780577448 -8.709635899560805
-41.510878406598756 -8.128305161640986
-37.82316637773145 -7.585775750291836
-34.46306052174851 -7.07945784384138
-31.401457209171294 -6.6069344800759575
-28.611838296751095 -6.165950018614822
-26.070041439998445 -5.754399373371567
-23.754050810513988 -5.370317963702527
-21.643806405415305 -5.011872336272719
-19.721030297188296 -4.677351412871981
-17.969068319023144 -4.365158322401657
-16.372745814388658 -4.073802778041126
-14.918236201416699 -3.801893963205613
-13.592941213664712 -3.5481338923357533
-12.385381779958555 -3.311311214825911
-11.285098598169606 -3.0902954325135887
-10.282561541743267 -2.8840315031266055
-9.369087114301923 -2.691534803926914
-8.53676323735346 -2.5118864315095797
-7.77838071965236 -2.344228815319923
-7.08737081463403 -2.1877616239495516
-6.457748325074419 -2.0417379446695296
-5.884059762174995 -1.9054607179632463
-5.361336110051621 -1.7782794100389228
-4.885049786496127 -1.6595869074375598
-4.451075427225196 -1.5488166189124812
-4.055654153948436 -1.4454397707459279
-3.6953610167628907 -1.3489628825916533
-3.367075328875414 -1.2589254117941675
-3.0679536367065876 -1.174897554939529
-2.795405091256114 -1.096478196143185
-2.5470690074081896 -1.0232929922807537
-2.3207944168063905 -0.9549925860214359
-2.1146214371947494 -0.8912509381337455
-1.9267642968552654 -0.8317637711026709
-1.755595867107567 -0.7762471166286916
-1.599633568898692 -0.7244359600749899
-1.4575265314125891 -0.6760829753919816
-1.3280438914733432 -0.630957344480193
-1.2100641323971915 -0.588843655355589
-1.1025653699515228 -0.5495408738576245
-1.0046165012825239 -0.5128613839913648
-0.9153691401476848 -0.47863009232263826
-0.8340502686000295 -0.44668359215096304
-0.7599555414764673 -0.4168693834703353
-0.6924431856969365 -0.3890451449942805
-0.6309284415330104 -0.3630780547701014
-0.5748784976988683 -0.33884415613920255
-0.5238078763948325 -0.31622776601683794
-0.47727422833091704 -0.29512092266663853
-0.43487450130889166 -0.2754228703338166
-0.3962414491769588 -0.25703957827688634
-0.36104045091927334 -0.239883291901949
-0.32896661232878405 -0.2238721138568339
-0.2997421251594706 -0.20892961308540386
-0.2731138608842171 -0.19498445997580455
-0.24885117821660555 -0.18197008586099836
-0.22674392540642918 -0.16982436524617442
-0.2066006200057669 -0.15848931924611134
-0.18824679033962344 -0.1479108388168207
-0.17152346431574594 -0.13803842646028847
-0.15628579248441182 -0.12882495516931336
-0.14240179342179007 -0.12022644346174131
-0.12975121056998684 -0.11220184543019636
-0.1182244706322704 -0.10471285480508996
-0.10772173450159421 -0.09772372209558107
-0.09815203250201356 -0.09120108393559097
-0.08943247645287175 -0.08511380382023763
-0.0814875417310322 -0.07943282347242814
-0.07424841311272325 -0.07413102413009177
-0.06765238872899036 -0.06918309709189363
