Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:46:45
Reading in of parameters:
Read parameters for layer 1 from ../../orga_TL.txt
l2.L = 1E-6
l2.N_anion = 0
l2.N_cation = 0
l2.N_t_bulk = 8E21
Read parameters for layer 2 from ../../pero.txt
Read parameters for layer 3 from ../../orga_TL.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = -1
Vmax = 100
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_17c7c061-459f-466b-a09b-8400dd4178bf.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_17c7c061-459f-466b-a09b-8400dd4178bf.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_17c7c061-459f-466b-a09b-8400dd4178bf.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_tl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
 71     4.508     TRUE      TRUE
 72     4.312     TRUE      TRUE
 73     4.125     TRUE      TRUE
 74     3.946     TRUE      TRUE
 75     3.775     TRUE      TRUE
 76     3.611     TRUE      TRUE
 77     3.454     TRUE      TRUE
 78     3.305     TRUE      TRUE
 79     3.161     TRUE      TRUE
 80     3.024     TRUE      TRUE
 81     2.893     TRUE      TRUE
 82     2.767     TRUE      TRUE
 83     2.647     TRUE      TRUE
 84     2.532     TRUE      TRUE
 85     2.422     TRUE      TRUE
 86     2.316     TRUE      TRUE
 87     2.216     TRUE      TRUE
 88     2.119     TRUE      TRUE
 89     2.027     TRUE      TRUE
 90     1.939     TRUE      TRUE
 91     1.855     TRUE      TRUE
 92     1.774     TRUE      TRUE
 93     1.697     TRUE      TRUE
 94     1.623     TRUE      TRUE
 95     1.552     TRUE      TRUE
 96     1.485     TRUE      TRUE
 97     1.420     TRUE      TRUE
 98     1.358     TRUE      TRUE
 99     1.299     TRUE      TRUE
100     1.242     TRUE      TRUE
101     1.188     TRUE      TRUE
102     1.136     TRUE      TRUE
103     1.087     TRUE      TRUE
104     1.039     TRUE      TRUE
105     0.994     TRUE      TRUE
106     0.950     TRUE      TRUE
