Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 11:29:32
Reading in of parameters:
Read parameters for layer 1 from ../../orga_TL.txt
l2.L = 1E-6
l2.N_anion = 1E21
l2.N_cation = 1E21
l2.N_t_bulk = 1E22
Read parameters for layer 2 from ../../pero.txt
Read parameters for layer 3 from ../../orga_TL.txt
NP = 550
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = 1
Vmax = 100
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_a4d15df9-981a-424b-bf18-020f472ef61e.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_a4d15df9-981a-424b-bf18-020f472ef61e.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_a4d15df9-981a-424b-bf18-020f472ef61e.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_tl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
 81     0.507     TRUE      TRUE
 82     0.530     TRUE      TRUE
 83     0.555     TRUE      TRUE
 84     0.580     TRUE      TRUE
 85     0.607     TRUE      TRUE
 86     0.635     TRUE      TRUE
 87     0.664     TRUE      TRUE
 88     0.694     TRUE      TRUE
 89     0.726     TRUE      TRUE
 90     0.760     TRUE      TRUE
 91     0.794     TRUE      TRUE
 92     0.831     TRUE      TRUE
 93     0.869     TRUE      TRUE
 94     0.909     TRUE      TRUE
 95     0.950     TRUE      TRUE
 96     0.994     TRUE      TRUE
 97     1.039     TRUE      TRUE
 98     1.087     TRUE      TRUE
 99     1.136     TRUE      TRUE
100     1.188     TRUE      TRUE
101     1.242     TRUE      TRUE
102     1.299     TRUE      TRUE
103     1.358     TRUE      TRUE
104     1.420     TRUE      TRUE
105     1.485     TRUE      TRUE
106     1.552     TRUE      TRUE
107     1.623     TRUE      TRUE
108     1.697     TRUE      TRUE
109     1.774     TRUE      TRUE
110     1.855     TRUE      TRUE
111     1.939     TRUE      TRUE
112     2.027     TRUE      TRUE
113     2.119     TRUE      TRUE
114     2.216     TRUE      TRUE
115     2.316     TRUE      TRUE
116     2.422     TRUE      TRUE
117     2.532     TRUE      TRUE
118     2.647     TRUE      TRUE
119     2.767     TRUE      TRUE
120     2.893     TRUE      TRUE
121     3.024     TRUE      TRUE
122     3.161     TRUE      TRUE
123     3.305     TRUE      TRUE
124     3.454     TRUE      TRUE
125     3.611     TRUE      TRUE
126     3.775     TRUE      TRUE
127     3.946     TRUE      TRUE
128     4.125     TRUE      TRUE
129     4.312     TRUE      TRUE
130     4.508     TRUE      TRUE
131     4.712     TRUE      TRUE
132     4.926     TRUE      TRUE
133     5.149     TRUE      TRUE
134     5.383     TRUE      TRUE
135     5.627     TRUE      TRUE
136     5.882     TRUE      TRUE
137     6.148     TRUE      TRUE
138     6.427     TRUE      TRUE
139     6.718     TRUE      TRUE
140     7.022     TRUE      TRUE
141     7.340     TRUE      TRUE
142     7.673     TRUE      TRUE
143     8.020     TRUE      TRUE
144     8.384     TRUE      TRUE
145     8.763     TRUE      TRUE
146     9.160     TRUE      TRUE
147     9.575     TRUE      TRUE
148    10.009     TRUE      TRUE
149    10.462     TRUE      TRUE
